"filename", "language", "JavaScript", "JavaScript React", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\kursinis_darbas\draughts-app\src\App\pages\loginPage\loginPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\kursinis_darbas\draughts-app\src\App\pages\logout\logout.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 5, 20
"c:\kursinis_darbas\draughts-app\src\App\pages\play\play.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 3, 37
"c:\kursinis_darbas\draughts-app\src\App\pages\play\play.module.scss", "SCSS", 0, 0, 0, 3, 0, 0, 1, 4
"c:\kursinis_darbas\draughts-app\src\App\pages\registerPage\registerPage.jsx", "JavaScript React", 0, 10, 0, 0, 0, 0, 3, 13
"c:\kursinis_darbas\draughts-app\src\App\pages\registerPage\registerPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\kursinis_darbas\draughts-app\src\App\pages\tablesPage\tablesPage.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 2, 13
"c:\kursinis_darbas\draughts-app\src\App\pages\tablesPage\tablesPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\kursinis_darbas\draughts-app\src\App\redux\actions\WSAction.js", "JavaScript", 34, 0, 0, 0, 0, 12, 9, 55
"c:\kursinis_darbas\draughts-app\src\App\redux\actions\authAction.js", "JavaScript", 39, 0, 0, 0, 0, 0, 9, 48
"c:\kursinis_darbas\draughts-app\src\App\redux\actions\clockAction.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"c:\kursinis_darbas\draughts-app\src\App\redux\actions\createGameAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\kursinis_darbas\draughts-app\src\App\redux\actions\messageAction.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\kursinis_darbas\draughts-app\src\App\redux\actions\moveAction.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\kursinis_darbas\draughts-app\src\App\redux\actions\piecesAction.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 15
"c:\kursinis_darbas\draughts-app\src\App\redux\reducers\WSReducer.js", "JavaScript", 35, 0, 0, 0, 0, 0, 4, 39
"c:\kursinis_darbas\draughts-app\src\App\redux\reducers\authReducer.js", "JavaScript", 35, 0, 0, 0, 0, 0, 3, 38
"c:\kursinis_darbas\draughts-app\src\App\redux\reducers\clockReducer.js", "JavaScript", 34, 0, 0, 0, 0, 0, 4, 38
"c:\kursinis_darbas\draughts-app\src\App\redux\reducers\createGameReducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 25
"c:\kursinis_darbas\draughts-app\src\App\redux\reducers\index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 18
"c:\kursinis_darbas\draughts-app\src\App\redux\reducers\messageReducer.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 17
"c:\kursinis_darbas\draughts-app\src\App\redux\reducers\moveReducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 25
"c:\kursinis_darbas\draughts-app\src\App\redux\reducers\piecesReducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 25
"c:\kursinis_darbas\draughts-app\src\App\redux\store\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\kursinis_darbas\draughts-app\src\App\redux\types\index.js", "JavaScript", 23, 0, 0, 0, 0, 0, 4, 27
"c:\kursinis_darbas\draughts-app\src\App\rules\game.js", "JavaScript", 190, 0, 0, 0, 0, 0, 23, 213
"c:\kursinis_darbas\draughts-app\src\App\rules\rules.js", "JavaScript", 432, 0, 0, 0, 0, 6, 24, 462
"c:\kursinis_darbas\draughts-app\src\App\services\authService.js", "JavaScript", 22, 0, 0, 0, 0, 0, 2, 24
"c:\kursinis_darbas\draughts-app\src\App\services\startGame.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\kursinis_darbas\draughts-app\src\App\services\tokenService.js", "JavaScript", 31, 0, 0, 0, 0, 0, 8, 39
"c:\kursinis_darbas\draughts-app\src\App\services\wsService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\kursinis_darbas\draughts-app\src\App\utills\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 2, 22
"c:\kursinis_darbas\draughts-app\src\App\webpages\webpages.jsx", "JavaScript React", 0, 75, 0, 0, 0, 0, 2, 77
"c:\kursinis_darbas\draughts-app\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 2, 14
"c:\kursinis_darbas\draughts-app\src\index.js", "JavaScript", 21, 0, 0, 0, 0, 3, 4, 28
"c:\kursinis_darbas\draughts-app\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\kursinis_darbas\draughts-app\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1284, 1177, 12, 508, 2, 37, 416, 3436
